S No,State Name,Total Electors,Total Voter turnout ,,,,Total Votes Casted,,,
,,,Male,Female ,Other ,Total Voters,EVM Vote,Postal Vote,migrant Vote,Total Actual Votes
,1,2,3,4,5,6,7,8,9,10
1,Andaman & Nicobar Islands,317878,109407,97671,2,207080,207080,216,0,207296
2,Andhra Pradesh*,39345717,15567765,15818150,709,31386624,31380829,226413,0,31607242
3,Arunachal Pradesh,798249,300798,326179,0,626977,626977,25114,0,652091
4,Assam,21991112,9184449,8748413,23,17932885,17932885,53181,0,17986066
5,Bihar,71063555,20688548,19978743,53,40667344,40667344,137953,0,40805297
6,Chandigarh,646084,240635,215557,15,456207,456207,361,0,456568
7,Chhattisgarh,18999239,6892813,6689419,134,13582366,13582366,32087,0,13614453
8,Dadra & Nagar Haveli,250021,103446,95479,0,198925,198925,58,0,198983
9,Daman & Diu,121729,41600,45841,0,87441,87441,28,0,87469
10,Goa,1135811,409471,441780,0,851251,851251,1952,0,853203
11,Gujarat*,45125680,15717100,13214160,249,28931509,28930120,151844,0,29081964
12,Haryana,17951028,6827260,5800550,37,12627847,12627847,53689,0,12681536
13,Himachal Pradesh,5262126,1865371,1936379,16,3801766,3801766,48966,0,3850732
14,Jammu & Kashmir,7844898,1851647,1643820,3,3495470,3495470,43615,13537,3552622
15,Jharkhand,22364480,7642331,7281044,39,14923414,14923414,38544,0,14961958
16,Karnataka,51051307,17972984,17080161,515,35053660,35053660,85022,0,35138682
17,Kerala,26151534,9700572,10611007,62,20311641,20311641,73575,0,20385216
18,Lakshadweep,55057,23301,23576,0,46877,46877,132,0,47009
19,Madhya Pradesh,51794665,19835181,17001270,491,36836942,36836942,73668,0,36910610
20,Maharashtra,88564748,28985002,24852778,609,53838389,53838389,215856,0,54054245
21,Manipur,1939244,768058,838333,17,1606408,1606408,10922,0,1617330
22,Meghalaya*,1911372,651490,713584,0,1365074,1364843,2388,0,1367231
23,Mizoram,787777,244562,252218,0,496780,496780,2841,0,499621
24,Nagaland,1206287,507247,494895,0,1002142,1002142,4215,0,1006357
25,NCT OF Delhi,14316453,4788107,3875513,157,8663777,8663777,15235,0,8679012
26,Odisha,32455313,11971460,11744982,262,23716704,23716704,74268,0,23790972
27,Puducherry,973161,371347,418834,71,790252,790252,508,0,790760
28,Punjab,20781211,7256450,6451485,150,13708085,13708085,57347,0,13765432
29,Rajasthan,48819246,16920849,15334577,105,32255531,32255531,185533,0,32441064
30,Sikkim,435599,173235,166645,0,339880,339880,11866,0,351746
31,Tamil Nadu,58442767,20797629,21362072,1113,42160814,42160814,205907,0,42366721
32,Telangana*,29697279,9380568,9245453,232,18626253,18625876,17019,0,18642895
33,Tripura,2605326,1088362,1053908,5,2142275,2142275,10897,0,2153172
34,Uttar Pradesh,145858999,46279932,39940366,347,86220645,86220645,260753,0,86481398
35,Uttarakhand,7765460,2386549,2390954,45,4777548,4777548,65377,0,4842925
36,West Bengal,69891741,29247454,27849610,202,57097266,57097266,109710,0,57206976
,Grand Total,908722153,316792980,294035406,5663,610834049,610826257,2297060,13537,613136854